Survey,Block,AcornID,Soil.type,Sterilized,Presence,Height_cm,Egrowth_cm,DRC_mm,nleaves,nlive_branches,ndead_branches
1,19,177,unburn,0,1,19.8,5.2,,6,1,0
2,7,215,burn,1,1,21,10,4.53,6,1,1
1,7,215,burn,1,1,18.1,11,,6,1,0
2,15,218,burn,1,1,18.5,8,5.51,5,1,0
1,15,218,burn,1,1,18,8.7,,6,1,1
2,8,220,burn,1,0,,,,,,
1,8,220,burn,1,0,,,,,,
2,11,221,unburn,1,1,24,13.5,4.79,7,1,0
1,11,221,unburn,1,1,23.7,13.6,,7,1,0
2,12,234,control,0,0,,,,,,
1,12,234,control,0,0,,,,,,
2,12,235,burn,1,0,,,,,,
1,12,235,burn,1,0,,,,,,
2,16,240,burn,1,0,,,,,,
1,16,240,burn,1,0,,,,,,
2,16,243,unburn,1,0,,,,,,
1,16,243,unburn,1,0,,,,,,
2,18,244,control,1,0,,,,,,
1,18,244,control,1,0,,,,,,
2,9,246,control,1,1,20.8,8.5,5.84,6,1,0
1,9,246,control,1,1,21.2,8.5,,6,1,1
2,15,247,control,1,0,,,,,,
1,15,247,control,1,1,16.4,9.2,,6,1,2
2,4,249,unburn,1,1,9,2.5,6.93,7,2,0
1,4,249,unburn,1,1,11.9,2.9,,6,2,0
2,14,253,unburn,1,0,,,,,,
1,14,253,unburn,1,0,,,,,,
2,17,255,unburn,1,1,23.5,6.5,6.13,7,1,0
1,17,255,unburn,1,1,22.8,6.6,,7,1,0
2,10,264,control,1,0,,,,,,
1,10,264,control,1,0,,,,,,
1,6,275,control,0,1,20.5,14.5,,6,1,1
2,13,277,control,1,1,28,10,4.03,6,1,0
1,13,277,control,1,1,29.1,9.8,,6,1,1
1,4,278,control,1,0,,,,,,
2,8,280,unburn,0,0,,,,,,
1,8,280,unburn,0,0,,,,,,
2,10,282,unburn,0,0,,,,,,
1,10,282,unburn,0,0,,,,,,
2,5,284,unburn,0,1,19,12,4.41,6,1,0
1,5,284,unburn,0,1,18.5,12.4,,6,1,0
2,16,288,unburn,0,0,,,,,,
1,16,288,unburn,0,0,,,,,,
2,5,289,control,0,1,19,6.5,4.22,10,2,0
1,5,289,control,0,1,16.8,6,,11,2,0
2,11,292,unburn,0,1,19,10,4.44,9,2,0
1,11,292,unburn,0,1,18.4,10.3,,7,2,0
2,3,294,control,0,1,29,13,5,7,1,0
1,3,294,control,0,1,28.7,13.3,,7,1,0
2,4,298,control,0,1,24,0,5.67,8,1,1
1,4,298,control,0,1,23.8,12.9,,12,1,1
2,1,299,unburn,0,1,15,7.5,3.29,10,2,0
1,1,299,unburn,0,1,14.3,7.1,,10,2,0
2,9,301,control,0,1,16.5,4,3.1,5,1,1
1,9,301,control,0,1,14.3,4.5,,5,1,1
2,3,302,control,0,1,20,9,7.07,5,1,0
1,3,302,control,0,1,16.7,10.8,,5,1,0
2,12,304,control,0,0,,,,,,
1,12,304,control,0,0,,,,,,
2,2,305,control,0,1,15.7,5.7,5.85,5,1,0
1,2,305,control,0,1,13.7,6.1,,5,1,1
2,11,307,control,0,1,16,6.7,3.37,8,3,0
1,11,307,control,0,1,8.5,7,,8,3,0
2,1,308,control,0,1,13.5,7,3.69,4,1,1
1,1,308,control,0,1,11,7,,4,1,0
2,15,311,control,0,1,30,2.5,4.63,5,1,0
1,15,311,control,0,1,27.3,2.6,,2,1,0
2,6,313,unburn,1,1,20.5,0,3.89,3,1,1
1,6,313,unburn,1,1,19.7,7.8,,3,1,0
2,7,316,unburn,1,1,18,11,5.94,7,1,0
1,7,316,unburn,1,1,14.5,11,,7,1,0
2,19,319,control,1,0,,,,,,
1,19,319,control,1,0,,,,,,
2,10,321,control,0,0,,,,,,
1,10,321,control,0,0,,,,,,
1,4,322,burn,1,0,,,,,,
2,10,332,burn,1,0,,,,,,
1,10,332,burn,1,0,,,,,,
2,9,333,unburn,0,1,13,8,3.84,5,1,0
1,9,333,unburn,0,1,12.3,9.1,,5,1,1
1,4,334,unburn,0,0,,,,,,
2,2,340,unburn,0,1,30,8.7,5.7,7,1,0
1,2,340,unburn,0,1,26.7,9.6,,7,1,2
2,15,345,unburn,0,1,18,9,4.15,15,3,0
1,15,345,unburn,0,1,14.8,9.5,,15,3,1
2,20,372,control,1,0,,,,,,
1,20,372,control,1,0,,,,,,
2,14,373,control,1,0,,,,,,
1,14,373,control,1,0,,,,,,
2,15,381,burn,0,1,27,11,5.2,15,3,0
1,15,381,burn,0,1,20.6,11.5,,16,3,0
2,5,389,control,1,1,26,8.3,7,7,1,0
1,5,389,control,1,1,19.1,5.6,,1,1,0
2,8,391,control,0,1,19,2.5,2.51,9,1,0
1,8,391,control,0,0,,,,,,
2,17,392,control,1,1,16,5,3.84,9,2,0
1,17,392,control,1,1,11.5,4.6,,9,2,0
2,6,404,control,1,1,21.5,0,3.54,8,2,1
1,6,404,control,1,1,19,8.1,,0,1,0
2,16,405,control,1,0,,,,,,
1,16,405,control,1,0,,,,,,
2,12,409,unburn,0,0,,,,,,
1,12,409,unburn,0,0,,,,,,
2,6,410,unburn,0,1,19,6.5,3.94,16,3,1
1,6,410,unburn,0,1,16.6,2.5,,1,1,0
2,17,415,burn,0,1,19,10.5,3.87,14,3,0
1,17,415,burn,0,1,19,10.5,,14,3,0
2,7,418,control,1,1,35,11,8.73,9,1,0
1,7,418,control,1,1,28.9,11,,9,1,0
2,8,443,burn,0,0,,,,,,
1,8,443,burn,0,0,,,,,,
2,14,467,unburn,0,0,,,,,,
1,14,467,unburn,0,0,,,,,,
2,7,484,burn,0,1,18,6.5,5.16,7,1,0
1,7,484,burn,0,1,14.4,6.4,,7,1,0
2,17,486,unburn,0,0,,,,,,
1,17,486,unburn,0,0,,,,,,
2,18,591,control,1,0,,,,,,
1,18,591,control,1,0,,,,,,
1,3,605,unburn,0,1,12.5,7.3,,6,1,1
2,3,605,unburn,0,1,22,7.4,5.16,5,1,0
